tweet_id,author_id,created_at,text,like_count,retweet_count,reply_count,quote_count
1988604207084265631,21611806,2025-11-12 13:46:04+00:00,"Declaración que pasará a la historia de México: “no falló el protocolo de seguridad” del alcalde de Uruapan, Carlos Manzo, dijo el secretario de la Defensa. ¿Entonces por qué lo mataron? #Michoacán #SeguridadCiudadana #4T ||   https://t.co/LzoltytoDQ",0,0,0,0
1988604176960466960,41925129,2025-11-12 13:45:56+00:00,"Pese a que policía confesó haber disparado a homicida de Alcalde Carlos Manzo cuando ya se encontraba sometido, no ha sido detenido. #Entérate https://t.co/ES0SEdM5fV",0,0,0,0
1988604155112608221,1977684210836963328,2025-11-12 13:45:51+00:00,"Para México: ¡Que vivan los protocolos que se siguen al pie de la letra y no funcionan! ¡Que viva el secretario de la Defensa Nacional, Ricardo Trevilla, y el protocolo para proteger a Carlos Manzo! ¡Que viva la burocracia!",0,0,0,0
1988604119322599575,2372900678,2025-11-12 13:45:43+00:00,@carolina_rocha_ Jajaja 🤣 jajaja  El protocolo de seguridad no falló.....??? Pero si mataron al alcalde....!! Asesinaron a Carlos Manzo!! Y dice qué no falló .... Definitivamente es el CINISMO a su máxima expresión,0,0,0,0
1988603976221339676,59177051,2025-11-12 13:45:09+00:00,"🔰#BajoReserva La revelación de que un escolta del alcalde asesinado Carlos Manzo mató al sicario que disparó en contra del edil de Uruapan cuando ya estaba sometido, nos hacen notar, que los autores intelectuales cortaron uno de los cabos https://t.co/Bxjb38eY1k",0,1,0,0
1988603967581081836,1619507898652008448,2025-11-12 13:45:07+00:00,@marcelcarrillog Uyyy ahí si acción inmediata! Pero para el caso de Carlos Manzo ni han levantado un meñique,0,0,0,0
1988603823544529098,48427852,2025-11-12 13:44:32+00:00,Maestra @warkentin no le parece absurdo la simpleza con la que la oposición quiere tomar la muerte de Carlos Manzo como estandarte? ¿la oposición cree que con eso les va a alcanzar?,1,0,0,0
1988603762810998928,142110743,2025-11-12 13:44:18+00:00,"“Hablar mal de Carlos Manzo es dispararse en el pie y cuando el poder culpa al asesinado, ya no gobierna: se justifica.” 👇🏻👇🏻👇🏻 https://t.co/5dvTKm16w3",2,0,0,0
1988603531285405939,309244806,2025-11-12 13:43:22+00:00,"COMO lo hicieron en mayo pasado, LOS MAESTROS DE LA COORDINADORA PLANEAN ACAMPAR DESDE HOY EN EL ZÓCALO, JUSTO ANTES DE LA OTRA MOVILIZACIÓN …que protestarán contra la inseguridad y la violencia, a raíz del asesinato del alcalde CARLOS MANZO. UTILIZA GRUPOS RADICALES para",0,0,0,0
1988603527661527547,960098703469170688,2025-11-12 13:43:22+00:00,"Cayó de mi gracia el tal Diego Ruzzarini, Brasileño radicado en México que dice con lenguaje técnico social lo que opina y en este caso degradando junto a su “amigo”, la imagen y memoria de Carlos Manzo y restando importancia a la movilización del 15 N.   Deleznable. https://t.co/9f3QDxpc2c",0,0,0,0
